status_id,status_message,status_author,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10487409466_10155594791019467,"Temporary office doggo, 10/10, good at sitting. Named Charlie. Got a little frisky but still good boy.",Anna Szabo,,photo,https://www.facebook.com/photo.php?fbid=10213249004562521&set=gm.10155594791019467&type=3,2017-06-22 17:08:09,43,0,0,39,4,0,0,0,0
10487409466_10155594704649467,"Got to spend a lovely afternoon with these doggos! Charlie, Whiskey, and Shelby! 10/10 would chill with again!!!",Hannah Templeton,,photo,https://www.facebook.com/photo.php?fbid=10211040395258964&set=gm.10155594704649467&type=3,2017-06-22 16:40:42,7,0,0,6,1,0,0,0,0
10487409466_10155594702769467,Handsome train doggo getting good scratches and pats.,Brooke Widman,Photos from Brooke Widman's post,photo,https://www.facebook.com/photo.php?fbid=3260303181617&set=gm.10155594702769467&type=3,2017-06-22 16:40:20,11,0,0,10,1,0,0,0,0
10487409466_10155594668999467,"A random corgo just ran into my house through my open front door, up my stairs, and onto my front porch.

He was very happy. 
His owners were very apologetic. 
His name is Albert! 
I gave him some pupperoni and lots of pats. 

12/10 - would give pupperoni and pats again.",Shamus Moynihan,,photo,https://www.facebook.com/photo.php?fbid=10155571797494248&set=gm.10155594668999467&type=3,2017-06-22 16:29:11,109,0,0,91,16,0,1,0,0
10487409466_10155594659314467,Smiling cloud doggo doing an impromptu convertible meet-and-greet in the patient drop off/pick up area at the hospital,Courtney Foster,,photo,https://www.facebook.com/photo.php?fbid=1026890957446016&set=gm.10155594659314467&type=3,2017-06-22 16:25:27,31,0,0,26,4,1,0,0,0
10487409466_10155593897464467,Waterfall doggo tattles to owner about me spotting.,Sam Morris,,video,https://www.facebook.com/1607381859274354/videos/1606259566053250,2017-06-22 12:58:16,39,2,0,33,5,1,0,0,0
10487409466_10155594629054467,Hecking good pupper spotted in Ambleside,Ben Gerhardt,,photo,https://www.facebook.com/photo.php?fbid=10209760794162166&set=gm.10155594629054467&type=3,2017-06-22 16:15:09,18,0,0,11,7,0,0,0,0
10487409466_10155594626039467,"Proud doggo doing a guard...

12/10 would stare back again...",Henry Aung,Photos from Henry Aung's post,video,https://www.facebook.com/1721624771181316/videos/1720628091280984,2017-06-22 16:14:20,6,0,0,5,1,0,0,0,0
10487409466_10155591047344467,"""What is this, some kind of snake?""

Nudist pupper in Cusco, Peru",Monica Rojas,,photo,https://www.facebook.com/photo.php?fbid=10100511110817701&set=gm.10155591047344467&type=3,2017-06-21 18:03:54,224,7,0,193,21,2,7,0,0
10487409466_10155594542079467,doggo does a dip (its warm as heck!),Daniel Lins,,photo,https://www.facebook.com/photo.php?fbid=10154393185556582&set=gm.10155594542079467&type=3,2017-06-22 15:52:38,17,1,0,16,0,1,0,0,0
